1,2,3,4
5,2,3,4
1,2,3,4
6,7,8,9,10
5,7,8,9,11
1,12,3,13
14,12,3,13
15,12,3,13
14,2,3,4
15,2,3,4
6,2,3,4
1,16,8,9,17
1,18,19,20
15,21,19,22
15,12,3,13
14,21,19,23
6,21,3,24
15,21,25,26,24
5,21,25,27,24
15,21,8,9,24
15,21,8,9,23
6,21,8,9,22
6,21,8,9,28
15,2,3,4
5,29,3,30
5,2,3,4
15,2,3,4
1,2,3,4
5,2,3,4
1,2,3,4
5,31,25,27,32
5,31,8,9,32
14,2,3,4
5,2,3,4
1,2,3,4
15,12,3,13
1,12,3,13
15,12,3,13
6,33,19,34
1,35,8,9,36
14,2,3,4
15,2,3,4
1,2,3,4
14,2,3,4
1,2,3,4
5,2,3,4
1,29,19,37
6,2,3,4
1,18,25,27,20
6,18,8,9,20
6,2,3,4
15,2,3,4
5,16,19,38
15,2,3,4
6,33,25,27,34
1,33,8,9,34
6,7,19,39
5,2,3,4
1,2,3,4
15,2,3,4
5,29,3,30
6,40,19,41
1,2,3,4
1,35,19,42
14,7,19,43
14,2,3,4
5,2,3,4
14,44,3,45
1,2,3,4
15,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
15,2,3,4
6,2,3,4
5,2,3,4
6,16,3,38
6,16,25,46,38
6,47,19,48
1,47,8,9,48
1,16,25,27,38
5,16,8,9,38
6,2,3,4
6,2,3,4
5,2,3,4
15,2,3,4
5,2,3,4
15,2,3,4
6,47,19,49
5,47,8,9,49
15,2,3,4
5,40,25,27,41
5,40,8,9,41
5,2,3,4
15,2,3,4
1,7,8,9,39
1,7,8,9,43
5,29,3,30
1,2,3,4
5,2,3,4
1,2,3,4
15,2,3,4
5,50,19,51
5,50,8,9,51
5,2,3,4
15,2,3,4
15,2,3,4
1,2,3,4
15,52,19,53
14,2,3,4
1,2,3,4
14,2,3,4
6,2,3,4
6,2,3,4
6,2,3,4
14,12,3,13
6,12,3,13
6,12,3,13
1,2,3,4
5,2,3,4
15,2,3,4
5,29,8,9,37
1,2,3,4
15,2,3,4
5,2,3,4
15,2,3,4
15,2,3,4
6,2,3,4
5,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
14,2,3,4
14,2,3,4
15,2,3,4
14,2,3,4
15,2,3,4
15,12,25,27,13
1,12,3,13
15,12,3,13
14,2,3,4
5,2,3,4
6,2,3,4
6,52,25,27,53
6,52,8,9,53
6,2,3,4
5,2,3,4
6,2,3,4
1,2,3,4
14,2,3,4
1,54,19,55
1,2,3,4
